precinct_norm,offense_category,previous_28d,current_28d,change_28d,pct_change_28d,recent_movement,city_previous_28d,city_current_28d,city_change_28d,city_pct_change_28d,previous_28d_start,previous_28d_end,current_28d_start,current_28d_end,pct_change_vs_previous,trend_class,city_gap_28d,priority_score,priority_signal
02,WEAPONS OFFENSES,33,30,-3,-9.09,Decreasing,271,226,-45,-16.61,2026-07-01,2026-07-28,2026-07-29,2026-08-25,2.766798418972332,Worsening,7.52,19.5,Monitor
03,WEAPONS OFFENSES,19,17,-2,-10.53,Decreasing,271,226,-45,-16.61,2026-07-01,2026-07-28,2026-07-29,2026-08-25,17.796610169491526,Consistently Worsening,6.08,19.4,Monitor
07,DAMAGE TO PROPERTY,54,51,-3,-5.56,Decreasing,900,884,-16,-1.78,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-18.317757009345794,Consistently Improving,-3.7799999999999994,19.2,Monitor
12,OBSTRUCTING THE POLICE,11,10,-1,-9.09,Decreasing,187,147,-40,-21.39,2026-07-01,2026-07-28,2026-07-29,2026-08-25,17.894736842105264,Consistently Worsening,12.3,18.9,Monitor
12,FAMILY OFFENSE,6,6,0,0.0,No Change,78,68,-10,-12.82,2026-07-01,2026-07-28,2026-07-29,2026-08-25,26.829268292682926,Worsening,12.82,18.7,Monitor
03,RUNAWAY,5,5,0,0.0,No Change,105,113,8,7.62,2026-07-01,2026-07-28,2026-07-29,2026-08-25,50.0,Worsening,-7.62,18.7,Monitor
07,FRAUD,21,20,-1,-4.76,Decreasing,536,455,-81,-15.11,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-27.794561933534744,Consistently Improving,10.35,17.9,Monitor
08,OBSTRUCTING JUDICIARY,15,13,-2,-13.33,Decreasing,94,87,-7,-7.45,2026-07-01,2026-07-28,2026-07-29,2026-08-25,25.555555555555557,Worsening,-5.88,17.9,Monitor
04,OBSTRUCTING JUDICIARY,10,4,-6,-60.0,Decreasing,94,87,-7,-7.45,2026-07-01,2026-07-28,2026-07-29,2026-08-25,50.0,Worsening,-52.55,17.8,Monitor
12,WEAPONS OFFENSES,19,18,-1,-5.26,Decreasing,271,226,-45,-16.61,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-6.70391061452514,Consistently Improving,11.35,17.7,Monitor
09,RUNAWAY,19,16,-3,-15.79,Decreasing,105,113,8,7.62,2026-07-01,2026-07-28,2026-07-29,2026-08-25,19.791666666666668,Consistently Worsening,-23.41,17.7,Monitor
11,FAMILY OFFENSE,8,7,-1,-12.5,Decreasing,78,68,-10,-12.82,2026-07-01,2026-07-28,2026-07-29,2026-08-25,36.58536585365854,Worsening,0.3200000000000003,17.5,Monitor
