period,precinct_norm,selection_type,selection_name,weekday,time_block,incident_count,neighborhood_scope
YTD,ALL,Crime Type,ARSON,Wednesday,00:00-05:59,14,ALL
YTD,ALL,Crime Type,ARSON,Wednesday,06:00-11:59,6,ALL
YTD,ALL,Crime Type,ARSON,Wednesday,12:00-17:59,9,ALL
YTD,ALL,Crime Type,ARSON,Wednesday,18:00-23:59,12,ALL
YTD,ALL,Crime Type,ASSAULT,Friday,00:00-05:59,371,ALL
YTD,ALL,Crime Type,ASSAULT,Friday,06:00-11:59,330,ALL
YTD,ALL,Crime Type,ASSAULT,Friday,12:00-17:59,517,ALL
YTD,ALL,Crime Type,ASSAULT,Friday,18:00-23:59,494,ALL
YTD,ALL,Crime Type,ASSAULT,Monday,00:00-05:59,384,ALL
YTD,ALL,Crime Type,ASSAULT,Monday,06:00-11:59,302,ALL
YTD,ALL,Crime Type,ASSAULT,Monday,12:00-17:59,494,ALL
YTD,ALL,Crime Type,ASSAULT,Monday,18:00-23:59,597,ALL
YTD,ALL,Crime Type,ASSAULT,Saturday,00:00-05:59,543,ALL
YTD,ALL,Crime Type,ASSAULT,Saturday,06:00-11:59,332,ALL
YTD,ALL,Crime Type,ASSAULT,Saturday,12:00-17:59,495,ALL
YTD,ALL,Crime Type,ASSAULT,Saturday,18:00-23:59,600,ALL
YTD,ALL,Crime Type,ASSAULT,Sunday,00:00-05:59,517,ALL
YTD,ALL,Crime Type,ASSAULT,Sunday,06:00-11:59,321,ALL
YTD,ALL,Crime Type,ASSAULT,Sunday,12:00-17:59,551,ALL
YTD,ALL,Crime Type,ASSAULT,Sunday,18:00-23:59,606,ALL
YTD,ALL,Crime Type,ASSAULT,Thursday,00:00-05:59,308,ALL
YTD,ALL,Crime Type,ASSAULT,Thursday,06:00-11:59,335,ALL
YTD,ALL,Crime Type,ASSAULT,Thursday,12:00-17:59,499,ALL
YTD,ALL,Crime Type,ASSAULT,Thursday,18:00-23:59,502,ALL
YTD,ALL,Crime Type,ASSAULT,Tuesday,00:00-05:59,332,ALL
YTD,ALL,Crime Type,ASSAULT,Tuesday,06:00-11:59,295,ALL
YTD,ALL,Crime Type,ASSAULT,Tuesday,12:00-17:59,459,ALL
YTD,ALL,Crime Type,ASSAULT,Tuesday,18:00-23:59,535,ALL
YTD,ALL,Crime Type,ASSAULT,Wednesday,00:00-05:59,353,ALL
YTD,ALL,Crime Type,ASSAULT,Wednesday,06:00-11:59,316,ALL
YTD,ALL,Crime Type,ASSAULT,Wednesday,12:00-17:59,519,ALL
YTD,ALL,Crime Type,ASSAULT,Wednesday,18:00-23:59,522,ALL
YTD,ALL,Crime Type,BURGLARY,Friday,00:00-05:59,125,ALL
YTD,ALL,Crime Type,BURGLARY,Friday,06:00-11:59,124,ALL
YTD,ALL,Crime Type,BURGLARY,Friday,12:00-17:59,179,ALL
