period,precinct_norm,selection_type,selection_name,total_incidents,peak_day,peak_day_count,peak_hour,peak_hour_count,peak_shift,peak_shift_count,peak_time_block,peak_time_block_count,period_start,period_end
YTD,ALL,All,All,84109,Sunday,12394,12,4845,Evening Shift (14:00-21:59),34187,12:00-17:59,25702,2025-01-01,2026-01-01
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,7725,Sunday,1281,0,462,Evening Shift (14:00-21:59),3124,18:00-23:59,2530,2025-01-01,2026-01-01
YTD,ALL,Crime Type,ARSON,483,Monday,75,4,38,Night Shift (22:00-05:59),256,00:00-05:59,215,2025-01-01,2026-01-01
YTD,ALL,Crime Type,ASSAULT,17261,Saturday,2730,16,949,Evening Shift (14:00-21:59),6932,12:00-17:59,5144,2025-01-01,2026-01-01
YTD,ALL,Crime Type,BURGLARY,5220,Monday,813,12,378,Evening Shift (14:00-21:59),2073,12:00-17:59,1832,2025-01-01,2026-01-01
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,10926,Sunday,1710,22,623,Evening Shift (14:00-21:59),4105,18:00-23:59,3314,2025-01-01,2026-01-01
YTD,ALL,Crime Type,DANGEROUS DRUGS,1030,Wednesday,203,16,94,Evening Shift (14:00-21:59),549,12:00-17:59,468,2025-01-01,2026-01-01
YTD,ALL,Crime Type,DISORDERLY CONDUCT,306,Sunday,66,0,34,Night Shift (22:00-05:59),126,00:00-05:59,102,2025-01-01,2026-01-01
YTD,ALL,Crime Type,EXTORTION,105,Wednesday,20,12,10,Evening Shift (14:00-21:59),51,12:00-17:59,37,2025-01-01,2026-01-01
YTD,ALL,Crime Type,FAMILY OFFENSE,917,Monday,152,17,68,Evening Shift (14:00-21:59),427,12:00-17:59,342,2025-01-01,2026-01-01
YTD,ALL,Crime Type,FORGERY,151,Thursday,28,12,19,Evening Shift (14:00-21:59),66,12:00-17:59,69,2025-01-01,2026-01-01
YTD,ALL,Crime Type,FRAUD,7448,Friday,1215,12,940,Day Shift (06:00-13:59),3242,12:00-17:59,3421,2025-01-01,2026-01-01
YTD,ALL,Crime Type,GAMBLING,1,Thursday,1,16,1,Evening Shift (14:00-21:59),1,12:00-17:59,1,2025-01-01,2026-01-01
YTD,ALL,Crime Type,HEALTH AND SAFETY,94,Wednesday,22,15,13,Evening Shift (14:00-21:59),51,12:00-17:59,44,2025-01-01,2026-01-01
YTD,ALL,Crime Type,HOMICIDE,196,Monday,35,23,14,Evening Shift (14:00-21:59),82,18:00-23:59,68,2025-01-01,2026-01-01
YTD,ALL,Crime Type,INVASION OF PRIVACY -OTHER,215,Tuesday,34,17,20,Evening Shift (14:00-21:59),91,12:00-17:59,65,2025-01-01,2026-01-01
YTD,ALL,Crime Type,JUSTIFIABLE HOMICIDE,18,Monday,5,22,4,Night Shift (22:00-05:59),12,18:00-23:59,9,2025-01-01,2026-01-01
YTD,ALL,Crime Type,KIDNAPPING,185,Friday,32,12,16,Evening Shift (14:00-21:59),71,18:00-23:59,60,2025-01-01,2026-01-01
YTD,ALL,Crime Type,LARCENY,12379,Sunday,1933,12,922,Evening Shift (14:00-21:59),5114,12:00-17:59,4221,2025-01-01,2026-01-01
YTD,ALL,Crime Type,LIQUOR,39,Saturday,17,21,9,Night Shift (22:00-05:59),23,18:00-23:59,20,2025-01-01,2026-01-01
YTD,ALL,Crime Type,MISCELLANEOUS,93,Thursday,20,12,14,Day Shift (06:00-13:59),38,12:00-17:59,44,2025-01-01,2026-01-01
YTD,ALL,Crime Type,OBSTRUCTING JUDICIARY,970,Friday,169,16,76,Evening Shift (14:00-21:59),458,12:00-17:59,340,2025-01-01,2026-01-01
YTD,ALL,Crime Type,OBSTRUCTING THE POLICE,1809,Saturday,297,0,163,Evening Shift (14:00-21:59),773,18:00-23:59,721,2025-01-01,2026-01-01
YTD,ALL,Crime Type,OTHER,353,Saturday,60,16,33,Evening Shift (14:00-21:59),163,12:00-17:59,129,2025-01-01,2026-01-01
YTD,ALL,Crime Type,OUIL,660,Saturday,120,21,64,Evening Shift (14:00-21:59),312,18:00-23:59,270,2025-01-01,2026-01-01
YTD,ALL,Crime Type,ROBBERY,1127,Sunday,211,0,72,Evening Shift (14:00-21:59),459,18:00-23:59,378,2025-01-01,2026-01-01
YTD,ALL,Crime Type,RUNAWAY,1056,Monday,162,17,81,Evening Shift (14:00-21:59),545,18:00-23:59,375,2025-01-01,2026-01-01
YTD,ALL,Crime Type,SEX OFFENSES,822,Friday,253,21,79,Evening Shift (14:00-21:59),410,18:00-23:59,356,2025-01-01,2026-01-01
YTD,ALL,Crime Type,SEXUAL ASSAULT,568,Thursday,90,0,54,Night Shift (22:00-05:59),238,00:00-05:59,189,2025-01-01,2026-01-01
YTD,ALL,Crime Type,SOLICITATION,26,Friday,14,21,4,Evening Shift (14:00-21:59),16,18:00-23:59,13,2025-01-01,2026-01-01
YTD,ALL,Crime Type,STOLEN PROPERTY,2187,Wednesday,354,12,159,Day Shift (06:00-13:59),859,12:00-17:59,785,2025-01-01,2026-01-01
YTD,ALL,Crime Type,STOLEN VEHICLE,6776,Friday,1052,22,651,Night Shift (22:00-05:59),2924,18:00-23:59,2922,2025-01-01,2026-01-01
YTD,ALL,Crime Type,WEAPONS OFFENSES,2963,Wednesday,464,21,310,Evening Shift (14:00-21:59),1318,18:00-23:59,1402,2025-01-01,2026-01-01
YTD,ALL,Category Focus,Gun-Related,2521,Wednesday,403,21,269,Evening Shift (14:00-21:59),1122,18:00-23:59,1210,2025-01-01,2026-01-01
YTD,ALL,Category Focus,Property Crime,37488,Sunday,5546,12,2180,Evening Shift (14:00-21:59),14745,18:00-23:59,11556,2025-01-01,2026-01-01
YTD,ALL,Category Focus,Larceny,12379,Sunday,1933,12,922,Evening Shift (14:00-21:59),5114,12:00-17:59,4221,2025-01-01,2026-01-01
YTD,00,All,All,9,Monday,3,16,4,Evening Shift (14:00-21:59),6,12:00-17:59,7,2025-01-01,2026-01-01
YTD,00,Crime Type,ASSAULT,1,Saturday,1,11,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2025-01-01,2026-01-01
YTD,00,Crime Type,DAMAGE TO PROPERTY,1,Saturday,1,16,1,Evening Shift (14:00-21:59),1,12:00-17:59,1,2025-01-01,2026-01-01
YTD,00,Crime Type,FRAUD,2,Tuesday,1,16,2,Evening Shift (14:00-21:59),2,12:00-17:59,2,2025-01-01,2026-01-01
YTD,00,Crime Type,LARCENY,1,Monday,1,15,1,Evening Shift (14:00-21:59),1,12:00-17:59,1,2025-01-01,2026-01-01
YTD,00,Crime Type,OBSTRUCTING JUDICIARY,1,Friday,1,12,1,Day Shift (06:00-13:59),1,12:00-17:59,1,2025-01-01,2026-01-01
YTD,00,Crime Type,OBSTRUCTING THE POLICE,1,Monday,1,16,1,Evening Shift (14:00-21:59),1,12:00-17:59,1,2025-01-01,2026-01-01
YTD,00,Crime Type,STOLEN VEHICLE,2,Wednesday,1,2,1,Night Shift (22:00-05:59),1,00:00-05:59,1,2025-01-01,2026-01-01
YTD,00,Category Focus,Property Crime,4,Monday,2,15,1,Evening Shift (14:00-21:59),3,12:00-17:59,3,2025-01-01,2026-01-01
YTD,00,Category Focus,Larceny,1,Monday,1,15,1,Evening Shift (14:00-21:59),1,12:00-17:59,1,2025-01-01,2026-01-01
YTD,02,All,All,7961,Saturday,1207,0,485,Evening Shift (14:00-21:59),3112,12:00-17:59,2369,2025-01-01,2026-01-01
YTD,02,Crime Type,AGGRAVATED ASSAULT,805,Saturday,137,16,57,Evening Shift (14:00-21:59),331,12:00-17:59,247,2025-01-01,2026-01-01
YTD,02,Crime Type,ARSON,46,Monday,8,2,6,Night Shift (22:00-05:59),21,00:00-05:59,20,2025-01-01,2026-01-01
YTD,02,Crime Type,ASSAULT,1738,Saturday,290,0,117,Evening Shift (14:00-21:59),668,12:00-17:59,504,2025-01-01,2026-01-01
YTD,02,Crime Type,BURGLARY,538,Tuesday,91,10,35,Day Shift (06:00-13:59),206,12:00-17:59,168,2025-01-01,2026-01-01
YTD,02,Crime Type,DAMAGE TO PROPERTY,968,Monday,173,2,56,Night Shift (22:00-05:59),343,12:00-17:59,259,2025-01-01,2026-01-01
YTD,02,Crime Type,DANGEROUS DRUGS,106,Tuesday,21,16,13,Evening Shift (14:00-21:59),72,12:00-17:59,47,2025-01-01,2026-01-01
YTD,02,Crime Type,DISORDERLY CONDUCT,42,Friday,10,21,6,Evening Shift (14:00-21:59),21,18:00-23:59,17,2025-01-01,2026-01-01
YTD,02,Crime Type,EXTORTION,8,Sunday,3,11,1,Day Shift (06:00-13:59),4,12:00-17:59,3,2025-01-01,2026-01-01
YTD,02,Crime Type,FAMILY OFFENSE,104,Monday,24,0,11,Evening Shift (14:00-21:59),49,12:00-17:59,40,2025-01-01,2026-01-01
YTD,02,Crime Type,FORGERY,20,Wednesday,4,10,3,Evening Shift (14:00-21:59),9,18:00-23:59,8,2025-01-01,2026-01-01
YTD,02,Crime Type,FRAUD,759,Thursday,122,12,88,Day Shift (06:00-13:59),341,12:00-17:59,305,2025-01-01,2026-01-01
YTD,02,Crime Type,HEALTH AND SAFETY,7,Wednesday,3,13,2,Day Shift (06:00-13:59),3,12:00-17:59,4,2025-01-01,2026-01-01
YTD,02,Crime Type,HOMICIDE,15,Monday,6,17,3,Night Shift (22:00-05:59),8,00:00-05:59,5,2025-01-01,2026-01-01
YTD,02,Crime Type,INVASION OF PRIVACY -OTHER,16,Friday,5,3,2,Evening Shift (14:00-21:59),7,12:00-17:59,5,2025-01-01,2026-01-01
YTD,02,Crime Type,JUSTIFIABLE HOMICIDE,1,Thursday,1,22,1,Night Shift (22:00-05:59),1,18:00-23:59,1,2025-01-01,2026-01-01
YTD,02,Crime Type,KIDNAPPING,13,Monday,5,19,2,Evening Shift (14:00-21:59),6,18:00-23:59,6,2025-01-01,2026-01-01
YTD,02,Crime Type,LARCENY,936,Sunday,143,15,69,Evening Shift (14:00-21:59),371,12:00-17:59,311,2025-01-01,2026-01-01
YTD,02,Crime Type,LIQUOR,2,Saturday,2,23,1,Night Shift (22:00-05:59),2,18:00-23:59,1,2025-01-01,2026-01-01
YTD,02,Crime Type,MISCELLANEOUS,7,Monday,3,15,2,Day Shift (06:00-13:59),5,12:00-17:59,6,2025-01-01,2026-01-01
YTD,02,Crime Type,OBSTRUCTING JUDICIARY,71,Saturday,16,19,8,Evening Shift (14:00-21:59),35,18:00-23:59,23,2025-01-01,2026-01-01
YTD,02,Crime Type,OBSTRUCTING THE POLICE,193,Thursday,34,21,25,Evening Shift (14:00-21:59),88,18:00-23:59,82,2025-01-01,2026-01-01
YTD,02,Crime Type,OTHER,39,Saturday,12,19,5,Evening Shift (14:00-21:59),16,18:00-23:59,14,2025-01-01,2026-01-01
YTD,02,Crime Type,OUIL,26,Tuesday,6,21,4,Night Shift (22:00-05:59),12,18:00-23:59,16,2025-01-01,2026-01-01
YTD,02,Crime Type,ROBBERY,102,Wednesday,17,17,10,Evening Shift (14:00-21:59),47,12:00-17:59,36,2025-01-01,2026-01-01
YTD,02,Crime Type,RUNAWAY,81,Tuesday,14,15,9,Evening Shift (14:00-21:59),48,12:00-17:59,34,2025-01-01,2026-01-01
YTD,02,Crime Type,SEX OFFENSES,91,Friday,42,17,8,Evening Shift (14:00-21:59),39,18:00-23:59,33,2025-01-01,2026-01-01
YTD,02,Crime Type,SEXUAL ASSAULT,58,Friday,11,0,9,Night Shift (22:00-05:59),30,00:00-05:59,27,2025-01-01,2026-01-01
YTD,02,Crime Type,SOLICITATION,4,Tuesday,4,17,3,Evening Shift (14:00-21:59),4,12:00-17:59,4,2025-01-01,2026-01-01
YTD,02,Crime Type,STOLEN PROPERTY,254,Monday,45,18,19,Evening Shift (14:00-21:59),100,12:00-17:59,80,2025-01-01,2026-01-01
YTD,02,Crime Type,STOLEN VEHICLE,553,Friday,91,23,52,Night Shift (22:00-05:59),233,18:00-23:59,222,2025-01-01,2026-01-01
YTD,02,Crime Type,WEAPONS OFFENSES,358,Saturday,65,21,51,Night Shift (22:00-05:59),171,18:00-23:59,185,2025-01-01,2026-01-01
YTD,02,Category Focus,Gun-Related,308,Wednesday,58,21,43,Night Shift (22:00-05:59),149,18:00-23:59,161,2025-01-01,2026-01-01
YTD,02,Category Focus,Property Crime,3249,Monday,522,12,184,Evening Shift (14:00-21:59),1200,12:00-17:59,938,2025-01-01,2026-01-01
YTD,02,Category Focus,Larceny,936,Sunday,143,15,69,Evening Shift (14:00-21:59),371,12:00-17:59,311,2025-01-01,2026-01-01
YTD,03,All,All,10038,Saturday,1653,0,631,Evening Shift (14:00-21:59),4082,18:00-23:59,3163,2025-01-01,2026-01-01
YTD,03,Crime Type,AGGRAVATED ASSAULT,535,Saturday,95,23,40,Night Shift (22:00-05:59),208,18:00-23:59,189,2025-01-01,2026-01-01
