h3_cell,previous_28d,current_28d,hotspot_status,change_28d,pct_change_28d,hotspot_score,precinct_norm,selection_type,selection_name,previous_hotspot_threshold,current_hotspot_threshold,previous_28d_start,previous_28d_end,current_28d_start,current_28d_end,latitude,longitude,neighborhood,nearest_intersection
882ab2ce85fffff,18,6,Declining Hotspot,-12,-66.67,6.0,04,All,All,10,10,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3338908211024,-83.1386862502404,Claytown,W I 94 Service Drive & Central St
882ab2ceabfffff,10,6,Declining Hotspot,-4,-40.0,6.0,04,All,All,10,10,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.33076611362725,-83.14650857658364,Claytown,Michigan Ave & Trenton St
882ab2c643fffff,7,20,Emerging Hotspot,13,185.71,39.5,05,All,All,15,12,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4217086952154,-82.92813607488735,Cornerstone Village,Chester St & University Pl
882ab2c65dfffff,11,18,Emerging Hotspot,7,63.64,28.5,05,All,All,15,12,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.418867988292,-82.9151376719804,Cornerstone Village,Moross Rd & Chandler Park Dr
882ab2c63bfffff,7,13,Emerging Hotspot,6,85.71,22.0,05,All,All,15,12,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.38827161690155,-82.9435361350442,Morningside,Lakepointe St & Mack Ave
882ab2c651fffff,14,16,Emerging Hotspot,2,14.29,19.0,05,All,All,15,12,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4146481955432,-82.9127833510084,Cornerstone Village,Mack Ave & Calvin Ave
882ab2c635fffff,10,12,Emerging Hotspot,2,20.0,15.0,05,All,All,15,12,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.392752502427854,-82.96421520979891,Fox Creek,Algonquin St & E Warren Ave
882ab2c60bfffff,20,37,Persistent Hotspot,17,85.0,75.45,05,All,All,15,12,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4071065301122,-82.9271565989737,Cornerstone Village,Guilford St & E Warren Ave
882ab2c63dfffff,20,23,Persistent Hotspot,3,15.0,35.55,05,All,All,15,12,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3981866734714,-82.9558389011593,Chandler Park-Chalmers,Lakepointe St & E Warren Ave
882ab2c603fffff,26,25,Persistent Hotspot,-1,-3.85,33.75,05,All,All,15,12,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4029894505433,-82.9399556381637,Morningside,Audubon Rd & E Warren Ave
882ab2c601fffff,20,20,Persistent Hotspot,0,0.0,27.0,05,All,All,15,12,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4101998614238,-82.9421318183079,Morningside,Chandler Park Dr & Yorkshire Rd
882ab2c657fffff,24,12,Persistent Hotspot,-12,-50.0,16.2,05,All,All,15,12,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4083309050742,-82.9203776544084,Cornerstone Village,E Warren Ave & Lodewyck St
882ab2c61dfffff,20,11,Declining Hotspot,-9,-45.0,11.0,05,All,All,15,12,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4013216575509,-82.9277006185038,East English Village,Harvard Rd & Waveney St
882ab2c631fffff,15,10,Declining Hotspot,-5,-33.33,10.0,05,All,All,15,12,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3869708078483,-82.9497958908939,Fox Creek,Mack Ave & Manistique St
882ab2c639fffff,26,10,Declining Hotspot,-16,-61.54,10.0,05,All,All,15,12,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.396523205589645,-82.94466548995295,Morningside,E Warren Ave & Berkshire St
882ab2c443fffff,18,9,Declining Hotspot,-9,-50.0,9.0,05,All,All,15,12,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.377743211354,-82.9799510638653,West End,Fairview St & Goethe Ave
882ab2c607fffff,17,6,Declining Hotspot,-11,-64.71,6.0,05,All,All,15,12,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4027898337408,-82.94904862188,Morningside,Southampton St & Somerset Ave
882ab2cf33fffff,12,18,Emerging Hotspot,6,50.0,27.0,06,All,All,18,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.37187235244575,-83.2412209572612,Franklin Park,Plymouth Rd & Fielding St
882ab2cc29fffff,12,15,Emerging Hotspot,3,25.0,19.5,06,All,All,18,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3468525586803,-83.2295763766551,Warrendale,W Warren Ave & Grandville Ave
882ab2cc2dfffff,15,15,Emerging Hotspot,0,0.0,15.0,06,All,All,18,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3503213294463,-83.2406201033814,Warrendale,Braile St & Belton Ave
882ab2cc67fffff,25,23,Persistent Hotspot,-2,-8.0,31.05,06,All,All,18,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.35570902059675,-83.2347281579616,Warrendale,Evergreen Rd & Joy Rd
882ab2cc2bfffff,18,20,Persistent Hotspot,2,11.11,30.0,06,All,All,18,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3396077393422,-83.22680751775106,Warrendale,Warwick St & Whitlock St
882ab2cc45fffff,24,21,Persistent Hotspot,-3,-12.5,28.35,06,All,All,18,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.365285439154,-83.2095166589743,Joy Community,Orangelawn St & Rutland St
882ab2cc65fffff,27,21,Persistent Hotspot,-6,-22.22,28.35,06,All,All,18,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.36292124299095,-83.238484125039,Franklin Park,W Chicago St & Heyden St
882ab2cc61fffff,18,19,Persistent Hotspot,1,5.56,27.15,06,All,All,18,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3611596478804,-83.226246313219,Franklin Park,Artesian St & Joy Rd
882ab2cc01fffff,20,19,Persistent Hotspot,-1,-5.0,25.65,06,All,All,18,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3458183863618,-83.2082445872955,Warren Ave Community,Rutland St & Majestic St
882ab2cc47fffff,19,17,Persistent Hotspot,-2,-10.53,22.95,06,All,All,18,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3590625176971,-83.20396735527581,Joy Community,Mansfield St & Kramer St
882ab2cc63fffff,18,17,Persistent Hotspot,-1,-5.56,22.95,06,All,All,18,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3540669512469,-83.2234171641304,Warrendale,Joy Rd & Greenview Ave
882ab2cc6dfffff,19,16,Persistent Hotspot,-3,-15.79,21.6,06,All,All,18,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3695246359902,-83.232456191969,Franklin Park,Orangelawn St & Warwick St
882ab2cc69fffff,23,13,Declining Hotspot,-10,-43.48,13.0,06,All,All,18,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3673550176978,-83.22027784620084,Franklin Park,Weaver St & Rosemont Ave
882ab2cc05fffff,23,11,Declining Hotspot,-12,-52.17,11.0,06,All,All,18,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3434016908208,-83.2207891741072,Warrendale,Sawyer St & Greenview Ave
882ab2cc6bfffff,27,9,Declining Hotspot,-18,-66.67,9.0,06,All,All,18,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3578434353762,-83.2168902458939,Franklin Park,Joy Rd & S M 39 Service Drive
882ab2c463fffff,6,11,Emerging Hotspot,5,83.33,18.5,07,All,All,12,9,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3767500840111,-83.0106424237817,Gratiot-Grand,Iroquois St & E Warren Ave
882ab2c403fffff,10,13,Emerging Hotspot,3,30.0,17.5,07,All,All,12,9,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3575485838906,-82.9870693400185,East Village,E Jefferson Ave & Holcomb St
882ab2c437fffff,9,12,Emerging Hotspot,3,33.33,16.5,07,All,All,12,9,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.34172506144085,-83.0145488213913,Rivertown,E Larned St & McDougall St
882ab2c465fffff,4,9,Emerging Hotspot,5,125.0,16.5,07,All,All,12,9,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3865949687306,-83.0214018454638,Airport Sub,Van Dyke St & Harper Ave
882ab2c41dfffff,7,9,Emerging Hotspot,2,28.57,12.0,07,All,All,12,9,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3588179546498,-82.9826841161272,East Village,E Jefferson Ave & Pennsylvania St
882ab2c5cbfffff,31,31,Persistent Hotspot,0,0.0,41.85,07,All,All,12,9,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3410176915525,-83.023266509099,Elmwood Park,E Jefferson Ave & Chene St
882ab2c439fffff,34,27,Persistent Hotspot,-7,-20.59,36.45,07,All,All,12,9,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3519526429914,-82.9967383380492,West Village,E Jefferson Ave & Parker St
882ab2c5c3fffff,28,20,Persistent Hotspot,-8,-28.57,27.0,07,All,All,12,9,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3364259425427,-83.0292011368974,Lafayette Park,Saint Aubin St & E Larned St
882ab2c5c9fffff,25,16,Persistent Hotspot,-9,-36.0,21.6,07,All,All,12,9,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3502542019417,-83.0302985615252,Elmwood Park,Prince Hall Dr & Chene St
882ab2c5c1fffff,22,15,Persistent Hotspot,-7,-31.82,20.25,07,All,All,12,9,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3423666128366,-83.0379321607677,Lafayette Park,Pembridge Pl & Saint Aubin St
882ab2c469fffff,12,10,Persistent Hotspot,-2,-16.67,13.5,07,All,All,12,9,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3905071517812,-83.0051484833408,West End,Pennsylvania St & Shoemaker St
882ab2c43dfffff,13,8,Declining Hotspot,-5,-38.46,8.0,07,All,All,12,9,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.354372393915,-83.0063893655434,Islandview,Agnes St & E Grand Blvd
882ab2c461fffff,15,8,Declining Hotspot,-7,-46.67,8.0,07,All,All,12,9,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3832002790155,-83.0140688496528,Gratiot Town/Kettering,Gratiot Ave & Parker St
882ab2c431fffff,22,4,Declining Hotspot,-18,-81.82,4.0,07,All,All,12,9,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.345732473251,-83.00686044990775,Islandview,E Congress St & Meldrum St
882ab2ca93fffff,15,22,Emerging Hotspot,7,46.67,32.5,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4294810884543,-83.2416290872179,Holcomb Community,W 7 Mile Rd & Patton St
882ab2ca97fffff,14,19,Emerging Hotspot,5,35.71,26.5,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4292679010273,-83.2534029514986,Evergreen Lahser 7/8,Lahser Rd & W 7 Mile Rd
882ab2ca9bfffff,9,16,Emerging Hotspot,7,77.78,26.5,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4321091650332,-83.234526339214,O'Hair Park,Cambridge Ave & Annchester Rd
882ab2cf45fffff,15,19,Emerging Hotspot,4,26.67,25.0,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.419387568202254,-83.2383766583946,Evergreen-Outer Drive,Santa Maria St & Heyden St
882ab2cf55fffff,14,16,Emerging Hotspot,2,14.29,19.0,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.40116095310875,-83.21831518089455,Crary/St Marys,Grand River Ave & Ashton Rd
882ab2cab1fffff,15,16,Emerging Hotspot,1,6.67,17.5,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4290006373133,-83.2777700530693,Five Points,Woodbine St & W 7 Mile Rd
882ab2cf61fffff,25,29,Persistent Hotspot,4,16.0,45.15,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4146741898092,-83.2568507845596,Oak Grove District 1,Chapel St & W McNichols Rd
882ab2cf5dfffff,20,22,Persistent Hotspot,2,10.0,32.7,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4103285053167,-83.2108407677899,Crary/St Marys,Verne St & Biltmore St
882ab2c1b7fffff,20,21,Persistent Hotspot,1,5.0,29.85,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.415851144836296,-83.20139796128575,Crary/St Marys,Greenfield Rd & Verne St
882ab2cf09fffff,22,21,Persistent Hotspot,-1,-4.55,28.35,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4039882458279,-83.2259135822917,Rosedale Park,Grand River Ave & Glastonbury Ave
882ab2cf53fffff,24,20,Persistent Hotspot,-4,-16.67,27.0,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.393900927103,-83.2015047170285,Greenfield-Grand River,Acacia St & Forrer St
882ab2c1a3fffff,26,19,Persistent Hotspot,-7,-26.92,25.65,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4302920458498,-83.2117228159554,Greenfield,Oakfield St & W 7 Mile Rd
882ab2cf49fffff,21,18,Persistent Hotspot,-3,-14.29,24.3,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4248549880698,-83.2179256175138,College Park,Margareta St & Lindsay St
882ab2c1b5fffff,17,17,Persistent Hotspot,0,0.0,22.95,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4230381823384,-83.20823202955845,College Park,Thatcher St & Ferguson St
882ab2cf6bfffff,16,16,Persistent Hotspot,0,0.0,21.6,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.41156466965455,-83.244250479248,Holcomb Community,Grand River Ave & Patton St
882ab2c1a7fffff,17,14,Declining Hotspot,-3,-17.65,14.0,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4335387451581,-83.2204958980592,O'Hair Park,Fenmore St & W 7 Mile Rd
882ab2cf51fffff,17,13,Declining Hotspot,-4,-23.53,13.0,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4030666206595,-83.2074096504793,Crary/St Marys,Keeler St & Ferguson St
882ab2ca91fffff,19,12,Declining Hotspot,-7,-36.84,12.0,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4365222139149,-83.2453426004845,Evergreen Lahser 7/8,Pembroke Ave & Kentfield St
882ab2cf4dfffff,20,12,Declining Hotspot,-8,-40.0,12.0,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.426720338279594,-83.2288701222653,Evergreen-Outer Drive,Stahelin Ave & W 7 Mile Rd
882ab2cf6dfffff,16,9,Declining Hotspot,-7,-43.75,9.0,08,All,All,16,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4218922142559,-83.2581934597824,Old Redford,Lahser Rd & Glenco St
882ab2c663fffff,15,24,Emerging Hotspot,9,60.0,37.5,09,All,All,20,18,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4203963608699,-82.9577493746717,Denby,Grayton St & Lansdowne St
882ab2c669fffff,13,20,Emerging Hotspot,7,53.85,30.5,09,All,All,20,18,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4331934041443,-82.9549172238386,Mapleridge,Kelly Rd & Linnhurst St
882ab2d5b3fffff,12,18,Emerging Hotspot,6,50.0,27.0,09,All,All,20,18,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4351378710972,-82.9776864504547,Franklin,Chalmers St & E 7 Mile Rd
882ab2c759fffff,18,18,Emerging Hotspot,0,0.0,18.0,09,All,All,20,18,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.429528610671994,-82.98540618260719,Franklin,Pelkey St & Greiner St
882ab2c66bfffff,32,28,Persistent Hotspot,-4,-12.5,37.8,09,All,All,20,18,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.42632688143855,-82.9499411616721,Moross-Morang,Lakepointe St & Morang Dr
882ab2c647fffff,34,25,Persistent Hotspot,-9,-26.47,33.75,09,All,All,20,18,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4244778056882,-82.9407430774162,Moross-Morang,Casino St & Somerset Ave
882ab2c605fffff,24,24,Persistent Hotspot,0,0.0,32.4,09,All,All,20,18,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.41182849365295,-82.9542600506487,Outer Drive-Hayes,Beaconsfield St & Courville St
882ab2c60dfffff,23,22,Persistent Hotspot,-1,-4.35,29.7,09,All,All,20,18,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4197410360825,-82.9462573545625,Yorkshire Woods,Nottingham Rd & Britain St
882ab2c661fffff,20,19,Persistent Hotspot,-1,-5.0,25.65,09,All,All,20,18,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4271921170409,-82.9627670159486,Mapleridge,Troester St & Queen St
882ab2c719fffff,27,19,Persistent Hotspot,-8,-29.63,25.65,09,All,All,20,18,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4085834761448,-82.9950846370677,Gratiot-Findlay,Gunston St & Gratiot Ave
882ab2d5b5fffff,33,19,Persistent Hotspot,-14,-42.42,25.65,09,All,All,20,18,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4456739782067,-82.9916402776304,Conner Creek,Fairport St & Bringard Dr
882ab2d5b7fffff,30,19,Persistent Hotspot,-11,-36.67,25.65,09,All,All,20,18,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4383595504994,-82.9889717563696,Pulaski,E 7 Mile Rd & Schoenherr St
882ab2c62bfffff,29,17,Declining Hotspot,-12,-41.38,17.0,09,All,All,20,18,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4065719044079,-82.9643445990192,Outer Drive-Hayes,Chalmers St & Kent St
882ab2d5bbfffff,32,15,Declining Hotspot,-17,-53.12,15.0,09,All,All,20,18,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4434084434849,-82.970791942545,Regent Park,Queen St & Rossini Dr
882ab2c625fffff,20,11,Declining Hotspot,-9,-45.0,11.0,09,All,All,20,18,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4093221818329,-82.9841299069008,Wade,Roseberry St & Longview St
882ab2cec9fffff,13,22,Emerging Hotspot,9,69.23,35.5,10,All,All,19,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3574279101944,-83.1105133991049,Petoskey-Otsego,W I 96 Service Drive & W Grand Blvd
882ab2c525fffff,14,21,Emerging Hotspot,7,50.0,31.5,10,All,All,19,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.377040420023,-83.1174128378397,Dexter-Linwood,Dexter Ave & Collingwood St
882ab2c52dfffff,13,20,Emerging Hotspot,7,53.85,30.5,10,All,All,19,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3817503022529,-83.1096324868484,Dexter-Linwood,Glynn Ct & Linwood St
882ab2c52bfffff,9,15,Emerging Hotspot,6,66.67,24.0,10,All,All,19,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3739808566136,-83.0944508510725,Virginia Park Community,Rosa Parks Blvd & W Euclid St
882ab2ce5bfffff,18,18,Emerging Hotspot,0,0.0,18.0,10,All,All,19,15,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3886209069811,-83.1151922896919,Dexter-Linwood,Fullerton St & Linwood St
