h3_cell,previous_28d,current_28d,hotspot_status,change_28d,pct_change_28d,hotspot_score,precinct_norm,selection_type,selection_name,previous_hotspot_threshold,current_hotspot_threshold,previous_28d_start,previous_28d_end,current_28d_start,current_28d_end,latitude,longitude,neighborhood,nearest_intersection
882ab2cf5bfffff,13,24,Emerging Hotspot,11,84.62,40.5,02,All,All,18,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.40150199439465,-83.1960751937683,Hubbell-Lyndon,Greenfield Rd & Chalfonte St
882ab2ce2bfffff,13,22,Emerging Hotspot,9,69.23,35.5,02,All,All,18,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3832082862042,-83.1757081426057,Grand River-I96,Grand River Ave & Lesure St
882ab2ce63fffff,16,16,Emerging Hotspot,0,0.0,16.0,02,All,All,18,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3999591437535,-83.17074921794016,Bethune Community,Chalfonte St & Appoline St
882ab2ce67fffff,17,16,Emerging Hotspot,-1,-5.88,16.0,02,All,All,18,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3996165391759,-83.1843121901417,Bethune Community,Ardmore St & Lyndon St
882ab2cc43fffff,23,22,Persistent Hotspot,-1,-4.35,29.7,02,All,All,18,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3570481056041,-83.1935237234267,Fiskhorn,Prest St & Joy Rd
882ab2ce65fffff,42,22,Persistent Hotspot,-20,-47.62,29.7,02,All,All,18,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4071639391402,-83.1877625171532,Bethune Community,Puritan St & Hubbell St
882ab2ce2dfffff,22,19,Persistent Hotspot,-3,-13.64,25.65,02,All,All,18,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3943851869428,-83.1906048808923,Hubbell-Lyndon,Whitcomb St & Lyndon St
882ab2ce07fffff,31,17,Persistent Hotspot,-14,-45.16,22.95,02,All,All,18,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3805794690386,-83.16476764865536,Grand River-I96,Grand River Ave & Griggs St
882ab2ce33fffff,18,17,Persistent Hotspot,-1,-5.56,22.95,02,All,All,18,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3597662727578,-83.1641413385951,Barton-McFarland,Ellis St & Meyers Rd
882ab2ce6dfffff,21,16,Persistent Hotspot,-5,-23.81,21.6,02,All,All,18,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.4118076305669,-83.1797983731317,Harmony Village,Schaefer Hwy & W McNichols Rd
882ab2cc49fffff,32,15,Declining Hotspot,-17,-53.12,15.0,02,All,All,18,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3704358941496,-83.1899171234106,Plymouth-Hubbell,Plymouth Rd & Strathmoor St
882ab2ce35fffff,19,9,Declining Hotspot,-10,-52.63,9.0,02,All,All,18,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3658503442388,-83.1764897287986,Barton-McFarland,Hartwell St & W Chicago St
882ab2ce3bfffff,20,8,Declining Hotspot,-12,-60.0,8.0,02,All,All,18,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3663665113129,-83.15478517777075,Barton-McFarland,Orangelawn St & Wyoming St
882ab2ce3dfffff,22,5,Declining Hotspot,-17,-77.27,5.0,02,All,All,18,16,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3755502420246,-83.1706008487181,Pride Area Community,Wadsworth St & Appoline
882ab2c53bfffff,21,22,Emerging Hotspot,1,4.76,23.5,03,All,All,27,22,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3546909528293,-83.0731579493817,Wayne State,Anthony Wayne Dr & 3rd St
882ab2c58dfffff,80,71,Persistent Hotspot,-9,-11.25,95.85,03,All,All,27,22,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3325162414365,-83.0493954373665,Downtown,John R St & Woodward Ave
882ab2c5ebfffff,34,43,Persistent Hotspot,9,26.47,71.55,03,All,All,27,22,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3369889568907,-83.0517817737465,Downtown,Woodward Ave & E Adams Ave
882ab2c517fffff,52,48,Persistent Hotspot,-4,-7.69,64.8,03,All,All,27,22,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3547448078777,-83.0636943175046,Midtown,W Hancock St & Woodward Ave
882ab2c5c7fffff,50,46,Persistent Hotspot,-4,-8.0,62.1,03,All,All,27,22,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3340146833249,-83.0431303273926,Greektown,Beaubien St & E Lafayette St
882ab2c5e3fffff,46,46,Persistent Hotspot,0,0.0,62.1,03,All,All,27,22,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3323027840917,-83.057812497388,Downtown,Bagley St & 3rd St
882ab2c5e1fffff,27,30,Persistent Hotspot,3,11.11,45.0,03,All,All,27,22,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3394921948913,-83.0664991055863,Midtown,Grand River Ave & S M 10
882ab2c5e9fffff,49,27,Persistent Hotspot,-22,-44.9,36.45,03,All,All,27,22,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.346487742123,-83.0580336249676,Midtown,Eliot St & Woodward Ave
882ab2c589fffff,32,24,Persistent Hotspot,-8,-25.0,32.4,03,All,All,27,22,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3313368677451,-83.0421009226148,Downtown,Randolph St & Cadillac Sq
882ab2c503fffff,30,16,Declining Hotspot,-14,-46.67,16.0,03,All,All,27,22,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3690367401692,-83.0721031760376,Milwaukee Junction,Piquette St & Brush St
882ab2c511fffff,28,15,Declining Hotspot,-13,-46.43,15.0,03,All,All,27,22,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3601854216103,-83.0590853182331,Medical Center,Brush St & E Warren Ave
882ab21b6dfffff,7,13,Emerging Hotspot,6,85.71,22.0,04,All,All,10,10,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3051494751125,-83.1234476758195,Springwells,Springwells St & Homer St
882ab2cc93fffff,15,27,Persistent Hotspot,12,80.0,54.45,04,All,All,10,10,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.2666572840668,-83.1560066412194,Boynton,S Annabelle St & Omaha St
882ab2cebbfffff,17,25,Persistent Hotspot,8,47.06,45.75,04,All,All,10,10,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3128380399185,-83.12812257015175,Springwells,Carson St & Belle St
882ab2c5a5fffff,11,17,Persistent Hotspot,6,54.55,31.95,04,All,All,10,10,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.322617530783006,-83.0892908956303,Hubbard Farms,Wolff St & Palms St
882ab2ce91fffff,10,14,Persistent Hotspot,4,40.0,24.9,04,All,All,10,10,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3159925152635,-83.10919122344384,Central Southwest,W Vernor Hwy & Infantry St
882ab2ce8bfffff,16,16,Persistent Hotspot,0,0.0,21.6,04,All,All,10,10,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.331163128617,-83.1155268312082,Chadsey Condon,Military St & Buchanan St
882ab2ceb3fffff,11,13,Persistent Hotspot,2,18.18,20.55,04,All,All,10,10,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3081881366621,-83.1341508430561,Springwells,W Vernor Hwy & Cabot St
882ab2ce99fffff,16,11,Persistent Hotspot,-5,-31.25,14.85,04,All,All,10,10,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3198301345242,-83.0971541555232,Central Southwest,W Vernor Hwy & McKinstry St
882ab2ce97fffff,11,10,Persistent Hotspot,-1,-9.09,13.5,04,All,All,10,10,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.309959029751,-83.1135680603791,Central Southwest,Army St & Beard St
882ab2ce81fffff,16,8,Declining Hotspot,-8,-50.0,8.0,04,All,All,10,10,2025-11-07,2025-12-04,2025-12-05,2026-01-01,42.3330138706291,-83.128231558375,Claytown,Braden St & Michigan Ave
