period,precinct_norm,selection_type,selection_name,weekday,time_block,incident_count
YTD,ALL,All,All,Friday,00:00-05:59,2243
YTD,ALL,All,All,Friday,06:00-11:59,2343
YTD,ALL,All,All,Friday,12:00-17:59,3922
YTD,ALL,All,All,Friday,18:00-23:59,3789
YTD,ALL,All,All,Monday,00:00-05:59,2303
YTD,ALL,All,All,Monday,06:00-11:59,2343
YTD,ALL,All,All,Monday,12:00-17:59,3735
YTD,ALL,All,All,Monday,18:00-23:59,3660
YTD,ALL,All,All,Saturday,00:00-05:59,2913
YTD,ALL,All,All,Saturday,06:00-11:59,2094
YTD,ALL,All,All,Saturday,12:00-17:59,3397
YTD,ALL,All,All,Saturday,18:00-23:59,3907
YTD,ALL,All,All,Sunday,00:00-05:59,3352
YTD,ALL,All,All,Sunday,06:00-11:59,1902
YTD,ALL,All,All,Sunday,12:00-17:59,3222
YTD,ALL,All,All,Sunday,18:00-23:59,3918
YTD,ALL,All,All,Thursday,00:00-05:59,2097
YTD,ALL,All,All,Thursday,06:00-11:59,2248
YTD,ALL,All,All,Thursday,12:00-17:59,3607
YTD,ALL,All,All,Thursday,18:00-23:59,3517
YTD,ALL,All,All,Tuesday,00:00-05:59,2052
YTD,ALL,All,All,Tuesday,06:00-11:59,2317
YTD,ALL,All,All,Tuesday,12:00-17:59,3900
YTD,ALL,All,All,Tuesday,18:00-23:59,3343
YTD,ALL,All,All,Wednesday,00:00-05:59,2221
YTD,ALL,All,All,Wednesday,06:00-11:59,2317
YTD,ALL,All,All,Wednesday,12:00-17:59,3919
YTD,ALL,All,All,Wednesday,18:00-23:59,3528
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Friday,00:00-05:59,225
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Friday,06:00-11:59,146
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Friday,12:00-17:59,295
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Friday,18:00-23:59,367
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Monday,00:00-05:59,265
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Monday,06:00-11:59,153
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Monday,12:00-17:59,294
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Monday,18:00-23:59,414
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Saturday,00:00-05:59,333
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Saturday,06:00-11:59,197
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Saturday,12:00-17:59,287
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Saturday,18:00-23:59,378
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Sunday,00:00-05:59,386
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Sunday,06:00-11:59,194
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Sunday,12:00-17:59,308
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Sunday,18:00-23:59,393
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Thursday,00:00-05:59,218
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Thursday,06:00-11:59,188
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Thursday,12:00-17:59,253
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Thursday,18:00-23:59,324
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Tuesday,00:00-05:59,222
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Tuesday,06:00-11:59,179
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Tuesday,12:00-17:59,325
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Tuesday,18:00-23:59,332
