precinct_norm,offense_category,previous_28d,current_28d,change_28d,pct_change_28d,recent_movement,city_previous_28d,city_current_28d,city_change_28d,city_pct_change_28d,previous_28d_start,previous_28d_end,current_28d_start,current_28d_end
02,ASSAULT,135,113,-22,-16.3,Decreasing,1290,1110,-180,-13.95,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,LARCENY,69,59,-10,-14.49,Decreasing,909,805,-104,-11.44,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,DAMAGE TO PROPERTY,48,48,0,0.0,No Change,756,648,-108,-14.29,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,AGGRAVATED ASSAULT,52,47,-5,-9.62,Decreasing,513,433,-80,-15.59,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,STOLEN VEHICLE,49,35,-14,-28.57,Decreasing,470,370,-100,-21.28,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,BURGLARY,40,31,-9,-22.5,Decreasing,419,368,-51,-12.17,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,FRAUD,56,29,-27,-48.21,Decreasing,571,449,-122,-21.37,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,STOLEN PROPERTY,15,15,0,0.0,No Change,125,141,16,12.8,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,WEAPONS OFFENSES,21,15,-6,-28.57,Decreasing,186,154,-32,-17.2,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,OBSTRUCTING JUDICIARY,6,11,5,83.33,Increasing,87,90,3,3.45,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,OBSTRUCTING THE POLICE,14,9,-5,-35.71,Decreasing,113,110,-3,-2.65,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,DANGEROUS DRUGS,6,5,-1,-16.67,Decreasing,89,58,-31,-34.83,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,RUNAWAY,6,4,-2,-33.33,Decreasing,69,43,-26,-37.68,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,SEX OFFENSES,7,4,-3,-42.86,Decreasing,68,30,-38,-55.88,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,DISORDERLY CONDUCT,0,3,3,,Increasing,14,25,11,78.57,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,FAMILY OFFENSE,9,3,-6,-66.67,Decreasing,68,49,-19,-27.94,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,ROBBERY,16,3,-13,-81.25,Decreasing,76,61,-15,-19.74,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,ARSON,4,2,-2,-50.0,Decreasing,33,30,-3,-9.09,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,HEALTH AND SAFETY,0,2,2,,Increasing,19,15,-4,-21.05,2025-11-07,2025-12-04,2025-12-05,2026-01-01
02,HOMICIDE,0,2,2,,Increasing,10,5,-5,-50.0,2025-11-07,2025-12-04,2025-12-05,2026-01-01
