focus_rank,h3_cell,incident_count,latitude,longitude,mean_spike_z,neighborhood,police_precinct,nearest_intersection,dominant_offense,dominant_offense_count,dominant_offense_share,score
1,892ab2c58d3ffff,765,42.333679462225,-83.0489995905088,0.5268154853614745,Downtown,03,State St & Gratiot Ave,FRAUD,326,0.4261437908496732,0.7789049218753775
2,892ab2c5e37ffff,726,42.3323027840917,-83.057812497388,0.4706123757850864,Downtown,03,Bagley St & 3rd St,LARCENY,259,0.35674931129476584,0.737585917167211
3,892ab2c5c67ffff,674,42.3340146833249,-83.041974135338,0.7729769788842727,Greektown,03,Beaubien St & E Lafayette St,LARCENY,204,0.3026706231454006,0.7031954421128508
4,892ab2c5ea7ffff,625,42.3369889568907,-83.0508947913856,0.4148883293041531,Downtown,03,Woodward Ave & E Adams Ave,LARCENY,150,0.24,0.6355088836126673
5,892ab2c5e03ffff,444,42.3394921948913,-83.0664991055863,0.4962830241167304,Midtown,03,Grand River Ave & S M 10,LARCENY,164,0.36936936936936937,0.46252380705212126
6,892ab2c5c6fffff,403,42.3339718334058,-83.045092056016,0.8146014967073545,Downtown,03,Gratiot Ave & Library St,DAMAGE TO PROPERTY,102,0.2531017369727047,0.43979299081859063
7,892ab2c5ca7ffff,423,42.3389923305779,-83.023266509099,0.32235895064558995,Elmwood Park,07,E Larned St & Chene St,FRAUD,92,0.21749408983451538,0.43239283450820304
8,892ab2cf617ffff,405,42.4147607054608,-83.2532071415374,0.5981103023147567,Holcomb Community,08,Grand River Ave & W McNichols Rd,FRAUD,121,0.29876543209876544,0.42987549661829044
9,892ab2c58c3ffff,398,42.3316846038982,-83.0511847304689,0.6458832599512837,Downtown,03,Michigan Ave & Cass Ave,ASSAULT,93,0.23366834170854273,0.4256339227777591
10,892ab2c539bffff,380,42.36679265109,-83.0825902706376,0.5622513349503069,Virginia Park Community,10,W Grand Blvd & Lincoln St,LARCENY,99,0.26052631578947366,0.40339820943360183
11,892ab2c5c37ffff,373,42.336454218575,-83.0283629956631,0.5903999254183365,Lafayette Park,07,Saint Aubin St & E Larned St,ASSAULT,101,0.2707774798927614,0.39807990034966745
12,892ab2c589bffff,363,42.3318481822611,-83.0420084078324,0.5061407479289118,Downtown,03,E Congress St & Brush St,ASSAULT,74,0.20385674931129477,0.3836529086354381
13,892ab2c512fffff,348,42.3496672748685,-83.0523699915006,0.7564961277497073,Medical Center,03,Beaubien St & Mack Ave,ASSAULT,132,0.3793103448275862,0.38268333984176
14,892ab2c517bffff,363,42.355810206951,-83.0636943175046,0.4183807845702358,Midtown,03,W Hancock St & Woodward Ave,ASSAULT,89,0.24517906336088155,0.37883775996354974
