focus_rank,h3_cell,incident_count,latitude,longitude,mean_spike_z,neighborhood,police_precinct,nearest_intersection,dominant_offense,dominant_offense_count,dominant_offense_share,score
35,892ab2c6083ffff,308,42.4164511512154,-82.93662829205026,0.7725973352161536,Cornerstone Village,05,Harper Ave & Cadieux Rd,FRAUD,85,0.275974025974026,0.2807303213976112
36,892ab2cc4d7ffff,304,42.3725604209568,-83.1975556543313,0.787614666593321,Plymouth-Hubbell,06,Greenfield Rd & Plymouth Rd,FRAUD,55,0.18092105263157895,0.2790331823602919
37,892ab2c510bffff,307,42.3587588435323,-83.0598847026779,0.7056367072490356,Medical Center,03,Brush St & E Warren Ave,FRAUD,144,0.46905537459283386,0.2748051562471009
38,892ab2c66b7ffff,276,42.4261328726536,-82.9475623758475,0.987928788673071,Moross-Morang,09,Lakepointe St & Morang Dr,ASSAULT,49,0.17753623188405798,0.27455820818712623
39,892ab2c0bd7ffff,282,42.4196271488091,-83.11522622430998,0.893626867613732,Palmer Park,12,Alwyne Ln & Whitmore Rd,ASSAULT,76,0.2695035460992908,0.2715205045722612
40,892ab2cf5bbffff,334,42.4015522142076,-83.1975994456973,0.3505594613443953,Belmont,02,Greenfield Rd & Fenkell St,LARCENY,83,0.24850299401197604,0.266524854325499
41,892ab2c5063ffff,284,42.3708434045059,-83.0813706276091,0.8108175737557988,New Center Commons,03,Pallister St & 3rd St,ASSAULT,81,0.2852112676056338,0.2665114769970748
42,892ab2ce6d3ffff,317,42.4165983135661,-83.1797983731317,0.4785302899139495,Harmony Village,12,Schaefer Hwy & W McNichols Rd,FRAUD,74,0.2334384858044164,0.26430198875938293
43,892ab2c646fffff,274,42.421890921292,-82.94045273912634,0.8603675554392737,Yorkshire Woods,09,McKinney Ave & Morang Dr,ASSAULT,49,0.17883211678832117,0.26320262077726836
44,892ab2ce6abffff,293,42.4022673236987,-83.1683204319468,0.6569154955757839,Bethune Community,12,Fenkell St & Manor St,FRAUD,73,0.24914675767918087,0.26098650498191434
45,892ab2c0aa7ffff,15,42.4247638366067,-83.1210247129324,3.213801963626859,Palmer Park,12,Merrill Plaisance St & Pontchartrain Blvd,BURGLARY,3,0.2,0.2607449856733524
46,892ab2c500fffff,305,42.37478060473641,-83.07652882471281,0.5323687538028072,New Center Commons,03,Seward St & Virginia Park Ct,ASSAULT,79,0.25901639344262295,0.25989406660579484
47,892ab2c5077ffff,283,42.372674386053774,-83.0789084295142,0.7269500029114487,New Center Commons,03,2nd Ave & Delaware St,ASSAULT,73,0.2579505300353357,0.25927112946533953
48,892ab2cf6a7ffff,221,42.4111469808938,-83.244250479248,1.2554207361696517,McNichols Evergreen,08,Grand River Ave & Patton St,LARCENY,82,0.37104072398190047,0.25596798825199374
49,892ab2c438fffff,268,42.34955605101951,-82.99810264465295,0.8172446309844222,Islandview,07,E Jefferson Ave & Baldwin St,ASSAULT,60,0.22388059701492538,0.25555011641809394
50,892ab2ce50bffff,319,42.38975360015571,-83.1308670005748,0.3316744866653598,Oakman Blvd Community,10,Dexter Ave & Waverly,ASSAULT,74,0.23197492163009403,0.25431081619552565
51,892ab2ca93bffff,294,42.429450661086,-83.24523984946978,0.5612276037105413,Evergreen Lahser 7/8,08,W 7 Mile Rd & Patton St,ASSAULT,53,0.18027210884353742,0.25425932552056135
52,892ab2c191bffff,325,42.4276560655783,-83.1695312811586,0.2714777830751244,Schulze,12,Margareta St & Manor St,FRAUD,194,0.5969230769230769,0.2539261398871888
53,892ab2ce627ffff,66,42.39503977373738,-83.16904259159246,2.6449426432894896,Bethune Community,02,Lyndon St & Meyers Rd,STOLEN PROPERTY,19,0.2878787878787879,0.25302666333298135
54,892ab2c0a73ffff,238,42.4263247905405,-83.1412534391509,1.056099152912606,University District,12,Pickford St & Livernois Ave,LARCENY,96,0.40336134453781514,0.25264051534867193
