precinct_norm,offense_category,previous_28d,current_28d,change_28d,pct_change_28d,recent_movement,city_previous_28d,city_current_28d,city_change_28d,city_pct_change_28d,previous_28d_start,previous_28d_end,current_28d_start,current_28d_end,pct_change_vs_previous,trend_class,city_gap_28d,priority_score,priority_signal
12,OBSTRUCTING JUDICIARY,5,16,11,220.0,Increasing,87,90,3,3.45,2025-11-07,2025-12-04,2025-12-05,2026-01-01,,Worsening,216.55,71.0,Emerging Concern
12,ASSAULT,116,131,15,12.93,Increasing,1290,1110,-180,-13.95,2025-11-07,2025-12-04,2025-12-05,2026-01-01,-14.285714285714286,Improving,26.88,64.9,Emerging Concern
08,WEAPONS OFFENSES,21,28,7,33.33,Increasing,186,154,-32,-17.2,2025-11-07,2025-12-04,2025-12-05,2026-01-01,300.0,Worsening,50.53,62.4,Emerging Concern
07,FRAUD,24,32,8,33.33,Increasing,571,449,-122,-21.37,2025-11-07,2025-12-04,2025-12-05,2026-01-01,-20.0,Improving,54.7,55.0,Emerging Concern
02,OBSTRUCTING JUDICIARY,6,11,5,83.33,Increasing,87,90,3,3.45,2025-11-07,2025-12-04,2025-12-05,2026-01-01,,,79.88,54.0,Emerging Concern
08,BURGLARY,43,52,9,20.93,Increasing,419,368,-51,-12.17,2025-11-07,2025-12-04,2025-12-05,2026-01-01,0.0,Stable,33.1,51.8,Emerging Concern
04,BURGLARY,13,18,5,38.46,Increasing,419,368,-51,-12.17,2025-11-07,2025-12-04,2025-12-05,2026-01-01,0.0,Stable,50.63,47.3,Emerging Concern
08,STOLEN PROPERTY,21,26,5,23.81,Increasing,125,141,16,12.8,2025-11-07,2025-12-04,2025-12-05,2026-01-01,,Worsening,11.009999999999998,34.4,Emerging Concern
09,STOLEN PROPERTY,22,27,5,22.73,Increasing,125,141,16,12.8,2025-11-07,2025-12-04,2025-12-05,2026-01-01,-50.0,Improving,9.93,34.0,Emerging Concern
03,DISORDERLY CONDUCT,3,9,6,200.0,Increasing,14,25,11,78.57,2025-11-07,2025-12-04,2025-12-05,2026-01-01,,,121.43,58.4,Watch
05,ROBBERY,1,7,6,600.0,Increasing,76,61,-15,-19.74,2025-11-07,2025-12-04,2025-12-05,2026-01-01,,,619.74,57.3,Watch
03,SEX OFFENSES,4,9,5,125.0,Increasing,68,30,-38,-55.88,2025-11-07,2025-12-04,2025-12-05,2026-01-01,,,180.88,56.4,Watch
03,STOLEN PROPERTY,2,7,5,250.0,Increasing,125,141,16,12.8,2025-11-07,2025-12-04,2025-12-05,2026-01-01,-100.0,Improving,237.2,55.3,Watch
03,OBSTRUCTING JUDICIARY,4,8,4,100.0,Increasing,87,90,3,3.45,2025-11-07,2025-12-04,2025-12-05,2026-01-01,-100.0,Improving,96.55,53.9,Watch
08,OUIL,2,6,4,200.0,Increasing,34,34,0,0.0,2025-11-07,2025-12-04,2025-12-05,2026-01-01,,,200.0,52.6,Watch
10,SEX OFFENSES,2,6,4,200.0,Increasing,68,30,-38,-55.88,2025-11-07,2025-12-04,2025-12-05,2026-01-01,,Worsening,255.88,52.6,Watch
06,SEXUAL ASSAULT,3,6,3,100.0,Increasing,49,27,-22,-44.9,2025-11-07,2025-12-04,2025-12-05,2026-01-01,,,144.9,50.6,Watch
11,OBSTRUCTING JUDICIARY,5,9,4,80.0,Increasing,87,90,3,3.45,2025-11-07,2025-12-04,2025-12-05,2026-01-01,,,76.55,50.4,Watch
10,ARSON,4,7,3,75.0,Increasing,33,30,-3,-9.09,2025-11-07,2025-12-04,2025-12-05,2026-01-01,,,84.09,46.3,Watch
03,OUIL,8,12,4,50.0,Increasing,34,34,0,0.0,2025-11-07,2025-12-04,2025-12-05,2026-01-01,,,50.0,45.7,Watch
03,OBSTRUCTING THE POLICE,9,13,4,44.44,Increasing,113,110,-3,-2.65,2025-11-07,2025-12-04,2025-12-05,2026-01-01,,,47.089999999999996,44.1,Watch
04,STOLEN PROPERTY,5,8,3,60.0,Increasing,125,141,16,12.8,2025-11-07,2025-12-04,2025-12-05,2026-01-01,,Worsening,47.2,43.1,Watch
05,STOLEN PROPERTY,8,12,4,50.0,Increasing,125,141,16,12.8,2025-11-07,2025-12-04,2025-12-05,2026-01-01,,Worsening,37.2,41.9,Watch
12,WEAPONS OFFENSES,9,12,3,33.33,Increasing,186,154,-32,-17.2,2025-11-07,2025-12-04,2025-12-05,2026-01-01,-33.333333333333336,Improving,50.53,40.4,Watch
