period,precinct_norm,selection_type,selection_name,total_incidents,peak_day,peak_day_count,peak_hour,peak_hour_count,peak_shift,peak_shift_count,peak_time_block,peak_time_block_count,period_start,period_end,neighborhood_scope
YTD,00,Crime Type,ASSAULT,4,Monday,2,16,2,Evening Shift (14:00-21:59),3,12:00-17:59,2,2026-01-01,2026-09-15,ALL
YTD,00,Crime Type,DAMAGE TO PROPERTY,3,Thursday,1,1,1,Night Shift (22:00-05:59),2,00:00-05:59,1,2026-01-01,2026-09-15,ALL
YTD,00,Crime Type,LARCENY,2,Tuesday,1,18,1,Evening Shift (14:00-21:59),1,18:00-23:59,1,2026-01-01,2026-09-15,ALL
YTD,00,Crime Type,RUNAWAY,1,Thursday,1,21,1,Evening Shift (14:00-21:59),1,18:00-23:59,1,2026-01-01,2026-09-15,ALL
YTD,00,Crime Type,STOLEN VEHICLE,1,Monday,1,20,1,Evening Shift (14:00-21:59),1,18:00-23:59,1,2026-01-01,2026-09-15,ALL
YTD,00,Category Focus,Property Crime,6,Monday,1,20,1,Night Shift (22:00-05:59),3,18:00-23:59,3,2026-01-01,2026-09-15,ALL
YTD,00,Category Focus,Larceny,2,Tuesday,1,18,1,Evening Shift (14:00-21:59),1,18:00-23:59,1,2026-01-01,2026-09-15,ALL
YTD,02,All,All,5543,Sunday,842,18,336,Evening Shift (14:00-21:59),2263,18:00-23:59,1742,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,AGGRAVATED ASSAULT,566,Saturday,108,19,36,Evening Shift (14:00-21:59),226,18:00-23:59,178,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,ARSON,26,Tuesday,6,1,5,Night Shift (22:00-05:59),16,00:00-05:59,11,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,ASSAULT,1261,Sunday,211,18,85,Evening Shift (14:00-21:59),494,12:00-17:59,377,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,BURGLARY,401,Thursday,68,18,30,Evening Shift (14:00-21:59),157,12:00-17:59,138,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,DAMAGE TO PROPERTY,695,Sunday,117,18,44,Evening Shift (14:00-21:59),290,18:00-23:59,205,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,DANGEROUS DRUGS,41,Wednesday,9,15,7,Evening Shift (14:00-21:59),27,12:00-17:59,21,2026-01-01,2026-09-15,ALL
