period,precinct_norm,selection_type,selection_name,total_incidents,peak_day,peak_day_count,peak_hour,peak_hour_count,peak_shift,peak_shift_count,peak_time_block,peak_time_block_count,period_start,period_end,neighborhood_scope
YTD,07,Crime Type,DANGEROUS DRUGS,1,Saturday,1,22,1,Night Shift (22:00-05:59),1,18:00-23:59,1,2026-01-01,2026-09-14,Downtown
YTD,07,Crime Type,LARCENY,2,Sunday,1,11,1,Day Shift (06:00-13:59),2,06:00-11:59,1,2026-01-01,2026-09-14,Downtown
YTD,07,Crime Type,WEAPONS OFFENSES,1,Saturday,1,22,1,Night Shift (22:00-05:59),1,18:00-23:59,1,2026-01-01,2026-09-14,Downtown
YTD,07,Category Focus,Gun-Related,1,Saturday,1,22,1,Night Shift (22:00-05:59),1,18:00-23:59,1,2026-01-01,2026-09-14,Downtown
YTD,07,Category Focus,Property Crime,2,Sunday,1,11,1,Day Shift (06:00-13:59),2,06:00-11:59,1,2026-01-01,2026-09-14,Downtown
YTD,07,Category Focus,Larceny,2,Sunday,1,11,1,Day Shift (06:00-13:59),2,06:00-11:59,1,2026-01-01,2026-09-14,Downtown
Recent 14D,ALL,All,All,108,Sunday,22,23,11,Evening Shift (14:00-21:59),52,18:00-23:59,42,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,AGGRAVATED ASSAULT,9,Monday,3,23,3,Evening Shift (14:00-21:59),4,18:00-23:59,6,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,ASSAULT,25,Sunday,5,17,5,Evening Shift (14:00-21:59),17,18:00-23:59,10,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,BURGLARY,2,Wednesday,1,4,1,Night Shift (22:00-05:59),1,00:00-05:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,DAMAGE TO PROPERTY,6,Tuesday,2,20,1,Night Shift (22:00-05:59),3,18:00-23:59,2,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,DANGEROUS DRUGS,3,Tuesday,3,16,3,Evening Shift (14:00-21:59),3,12:00-17:59,3,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,DISORDERLY CONDUCT,2,Sunday,1,11,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,FRAUD,14,Friday,4,18,2,Evening Shift (14:00-21:59),6,18:00-23:59,5,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,INVASION OF PRIVACY -OTHER,2,Sunday,1,11,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,KIDNAPPING,1,Thursday,1,23,1,Night Shift (22:00-05:59),1,18:00-23:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,LARCENY,29,Sunday,10,22,4,Evening Shift (14:00-21:59),14,18:00-23:59,12,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,OBSTRUCTING THE POLICE,4,Friday,1,15,1,Evening Shift (14:00-21:59),2,12:00-17:59,2,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,ROBBERY,1,Tuesday,1,9,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,SEX OFFENSES,1,Friday,1,11,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,STOLEN PROPERTY,1,Monday,1,16,1,Evening Shift (14:00-21:59),1,12:00-17:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,STOLEN VEHICLE,4,Sunday,1,1,1,Night Shift (22:00-05:59),2,18:00-23:59,2,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Crime Type,WEAPONS OFFENSES,4,Friday,2,9,1,Day Shift (06:00-13:59),2,06:00-11:59,2,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Category Focus,Gun-Related,4,Friday,2,9,1,Day Shift (06:00-13:59),2,06:00-11:59,2,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Category Focus,Property Crime,42,Sunday,11,20,5,Evening Shift (14:00-21:59),19,18:00-23:59,17,2026-09-01,2026-09-14,Downtown
Recent 14D,ALL,Category Focus,Larceny,29,Sunday,10,22,4,Evening Shift (14:00-21:59),14,18:00-23:59,12,2026-09-01,2026-09-14,Downtown
Recent 14D,03,All,All,107,Sunday,21,23,11,Evening Shift (14:00-21:59),52,18:00-23:59,42,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,AGGRAVATED ASSAULT,9,Monday,3,23,3,Evening Shift (14:00-21:59),4,18:00-23:59,6,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,ASSAULT,25,Sunday,5,17,5,Evening Shift (14:00-21:59),17,18:00-23:59,10,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,BURGLARY,2,Wednesday,1,4,1,Night Shift (22:00-05:59),1,00:00-05:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,DAMAGE TO PROPERTY,6,Tuesday,2,20,1,Night Shift (22:00-05:59),3,18:00-23:59,2,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,DANGEROUS DRUGS,3,Tuesday,3,16,3,Evening Shift (14:00-21:59),3,12:00-17:59,3,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,DISORDERLY CONDUCT,2,Sunday,1,11,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,FRAUD,14,Friday,4,18,2,Evening Shift (14:00-21:59),6,18:00-23:59,5,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,INVASION OF PRIVACY -OTHER,2,Sunday,1,11,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,KIDNAPPING,1,Thursday,1,23,1,Night Shift (22:00-05:59),1,18:00-23:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,LARCENY,28,Sunday,9,22,4,Evening Shift (14:00-21:59),14,18:00-23:59,12,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,OBSTRUCTING THE POLICE,4,Friday,1,15,1,Evening Shift (14:00-21:59),2,12:00-17:59,2,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,ROBBERY,1,Tuesday,1,9,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,SEX OFFENSES,1,Friday,1,11,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,STOLEN PROPERTY,1,Monday,1,16,1,Evening Shift (14:00-21:59),1,12:00-17:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,STOLEN VEHICLE,4,Sunday,1,1,1,Night Shift (22:00-05:59),2,18:00-23:59,2,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Crime Type,WEAPONS OFFENSES,4,Friday,2,9,1,Day Shift (06:00-13:59),2,06:00-11:59,2,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Category Focus,Gun-Related,4,Friday,2,9,1,Day Shift (06:00-13:59),2,06:00-11:59,2,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Category Focus,Property Crime,41,Sunday,10,20,5,Evening Shift (14:00-21:59),19,18:00-23:59,17,2026-09-01,2026-09-14,Downtown
Recent 14D,03,Category Focus,Larceny,28,Sunday,9,22,4,Evening Shift (14:00-21:59),14,18:00-23:59,12,2026-09-01,2026-09-14,Downtown
Recent 14D,07,All,All,1,Sunday,1,11,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,07,Crime Type,LARCENY,1,Sunday,1,11,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,07,Category Focus,Property Crime,1,Sunday,1,11,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,Downtown
Recent 14D,07,Category Focus,Larceny,1,Sunday,1,11,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,Downtown
YTD,ALL,All,All,42,Friday,11,11,5,Day Shift (06:00-13:59),16,06:00-11:59,11,2026-01-01,2026-08-29,East Canfield
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,5,Friday,2,21,2,Evening Shift (14:00-21:59),3,18:00-23:59,3,2026-01-01,2026-08-29,East Canfield
YTD,ALL,Crime Type,ASSAULT,10,Friday,3,11,2,Night Shift (22:00-05:59),5,18:00-23:59,4,2026-01-01,2026-08-29,East Canfield
YTD,ALL,Crime Type,BURGLARY,3,Thursday,2,5,1,Night Shift (22:00-05:59),1,12:00-17:59,2,2026-01-01,2026-08-29,East Canfield
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,4,Tuesday,2,4,1,Night Shift (22:00-05:59),3,00:00-05:59,2,2026-01-01,2026-08-29,East Canfield
YTD,ALL,Crime Type,FAMILY OFFENSE,1,Thursday,1,10,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-01-01,2026-08-29,East Canfield
YTD,ALL,Crime Type,FRAUD,4,Thursday,2,13,1,Day Shift (06:00-13:59),2,12:00-17:59,4,2026-01-01,2026-08-29,East Canfield
YTD,ALL,Crime Type,LARCENY,6,Friday,2,10,1,Day Shift (06:00-13:59),3,06:00-11:59,2,2026-01-01,2026-08-29,East Canfield
YTD,ALL,Crime Type,OBSTRUCTING THE POLICE,1,Saturday,1,13,1,Day Shift (06:00-13:59),1,12:00-17:59,1,2026-01-01,2026-08-29,East Canfield
YTD,ALL,Crime Type,RUNAWAY,1,Saturday,1,19,1,Evening Shift (14:00-21:59),1,18:00-23:59,1,2026-01-01,2026-08-29,East Canfield
YTD,ALL,Crime Type,STOLEN PROPERTY,2,Friday,1,11,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-01-01,2026-08-29,East Canfield
YTD,ALL,Crime Type,STOLEN VEHICLE,5,Wednesday,2,8,1,Day Shift (06:00-13:59),3,06:00-11:59,3,2026-01-01,2026-08-29,East Canfield
YTD,ALL,Category Focus,Property Crime,20,Friday,5,1,3,Day Shift (06:00-13:59),9,06:00-11:59,7,2026-01-01,2026-08-29,East Canfield
YTD,ALL,Category Focus,Larceny,6,Friday,2,10,1,Day Shift (06:00-13:59),3,06:00-11:59,2,2026-01-01,2026-08-29,East Canfield
YTD,05,All,All,42,Friday,11,11,5,Day Shift (06:00-13:59),16,06:00-11:59,11,2026-01-01,2026-08-29,East Canfield
YTD,05,Crime Type,AGGRAVATED ASSAULT,5,Friday,2,21,2,Evening Shift (14:00-21:59),3,18:00-23:59,3,2026-01-01,2026-08-29,East Canfield
YTD,05,Crime Type,ASSAULT,10,Friday,3,11,2,Night Shift (22:00-05:59),5,18:00-23:59,4,2026-01-01,2026-08-29,East Canfield
YTD,05,Crime Type,BURGLARY,3,Thursday,2,5,1,Night Shift (22:00-05:59),1,12:00-17:59,2,2026-01-01,2026-08-29,East Canfield
YTD,05,Crime Type,DAMAGE TO PROPERTY,4,Tuesday,2,4,1,Night Shift (22:00-05:59),3,00:00-05:59,2,2026-01-01,2026-08-29,East Canfield
YTD,05,Crime Type,FAMILY OFFENSE,1,Thursday,1,10,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-01-01,2026-08-29,East Canfield
YTD,05,Crime Type,FRAUD,4,Thursday,2,13,1,Day Shift (06:00-13:59),2,12:00-17:59,4,2026-01-01,2026-08-29,East Canfield
YTD,05,Crime Type,LARCENY,6,Friday,2,10,1,Day Shift (06:00-13:59),3,06:00-11:59,2,2026-01-01,2026-08-29,East Canfield
YTD,05,Crime Type,OBSTRUCTING THE POLICE,1,Saturday,1,13,1,Day Shift (06:00-13:59),1,12:00-17:59,1,2026-01-01,2026-08-29,East Canfield
YTD,05,Crime Type,RUNAWAY,1,Saturday,1,19,1,Evening Shift (14:00-21:59),1,18:00-23:59,1,2026-01-01,2026-08-29,East Canfield
YTD,05,Crime Type,STOLEN PROPERTY,2,Friday,1,11,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-01-01,2026-08-29,East Canfield
YTD,05,Crime Type,STOLEN VEHICLE,5,Wednesday,2,8,1,Day Shift (06:00-13:59),3,06:00-11:59,3,2026-01-01,2026-08-29,East Canfield
YTD,05,Category Focus,Property Crime,20,Friday,5,1,3,Day Shift (06:00-13:59),9,06:00-11:59,7,2026-01-01,2026-08-29,East Canfield
YTD,05,Category Focus,Larceny,6,Friday,2,10,1,Day Shift (06:00-13:59),3,06:00-11:59,2,2026-01-01,2026-08-29,East Canfield
Recent 14D,ALL,All,All,1,Saturday,1,19,1,Evening Shift (14:00-21:59),1,18:00-23:59,1,2026-08-16,2026-08-29,East Canfield
Recent 14D,ALL,Crime Type,RUNAWAY,1,Saturday,1,19,1,Evening Shift (14:00-21:59),1,18:00-23:59,1,2026-08-16,2026-08-29,East Canfield
Recent 14D,05,All,All,1,Saturday,1,19,1,Evening Shift (14:00-21:59),1,18:00-23:59,1,2026-08-16,2026-08-29,East Canfield
Recent 14D,05,Crime Type,RUNAWAY,1,Saturday,1,19,1,Evening Shift (14:00-21:59),1,18:00-23:59,1,2026-08-16,2026-08-29,East Canfield
YTD,ALL,All,All,288,Sunday,53,21,19,Evening Shift (14:00-21:59),122,18:00-23:59,92,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,20,Sunday,6,15,4,Evening Shift (14:00-21:59),10,12:00-17:59,9,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,ARSON,1,Tuesday,1,9,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,ASSAULT,70,Wednesday,17,19,8,Evening Shift (14:00-21:59),36,18:00-23:59,24,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,BURGLARY,19,Thursday,6,9,2,Evening Shift (14:00-21:59),8,06:00-11:59,7,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,40,Tuesday,9,0,4,Night Shift (22:00-05:59),16,12:00-17:59,12,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,DANGEROUS DRUGS,7,Tuesday,2,21,3,Evening Shift (14:00-21:59),5,18:00-23:59,3,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,FRAUD,18,Wednesday,6,12,3,Evening Shift (14:00-21:59),8,12:00-17:59,9,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,HEALTH AND SAFETY,1,Tuesday,1,17,1,Evening Shift (14:00-21:59),1,12:00-17:59,1,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,INVASION OF PRIVACY -OTHER,2,Sunday,1,10,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,LARCENY,36,Tuesday,7,12,7,Day Shift (06:00-13:59),18,12:00-17:59,16,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,OBSTRUCTING JUDICIARY,4,Sunday,3,18,1,Night Shift (22:00-05:59),2,00:00-05:59,2,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,OBSTRUCTING THE POLICE,3,Tuesday,1,1,1,Night Shift (22:00-05:59),2,00:00-05:59,2,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,ROBBERY,8,Monday,3,21,2,Evening Shift (14:00-21:59),5,18:00-23:59,4,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,RUNAWAY,2,Wednesday,1,16,1,Evening Shift (14:00-21:59),1,12:00-17:59,1,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,STOLEN PROPERTY,4,Tuesday,2,10,1,Day Shift (06:00-13:59),2,06:00-11:59,1,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,STOLEN VEHICLE,43,Friday,10,22,8,Night Shift (22:00-05:59),24,18:00-23:59,23,2026-01-01,2026-09-14,East English Village
YTD,ALL,Crime Type,WEAPONS OFFENSES,10,Saturday,3,1,2,Night Shift (22:00-05:59),5,00:00-05:59,4,2026-01-01,2026-09-14,East English Village
YTD,ALL,Category Focus,Gun-Related,10,Saturday,3,1,2,Night Shift (22:00-05:59),5,00:00-05:59,4,2026-01-01,2026-09-14,East English Village
YTD,ALL,Category Focus,Property Crime,142,Sunday,28,22,11,Night Shift (22:00-05:59),51,18:00-23:59,45,2026-01-01,2026-09-14,East English Village
YTD,ALL,Category Focus,Larceny,36,Tuesday,7,12,7,Day Shift (06:00-13:59),18,12:00-17:59,16,2026-01-01,2026-09-14,East English Village
YTD,00,All,All,1,Friday,1,13,1,Day Shift (06:00-13:59),1,12:00-17:59,1,2026-01-01,2026-09-14,East English Village
YTD,00,Crime Type,DAMAGE TO PROPERTY,1,Friday,1,13,1,Day Shift (06:00-13:59),1,12:00-17:59,1,2026-01-01,2026-09-14,East English Village
YTD,00,Category Focus,Property Crime,1,Friday,1,13,1,Day Shift (06:00-13:59),1,12:00-17:59,1,2026-01-01,2026-09-14,East English Village
YTD,05,All,All,286,Sunday,53,21,19,Evening Shift (14:00-21:59),121,18:00-23:59,91,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,AGGRAVATED ASSAULT,20,Sunday,6,15,4,Evening Shift (14:00-21:59),10,12:00-17:59,9,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,ARSON,1,Tuesday,1,9,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,ASSAULT,70,Wednesday,17,19,8,Evening Shift (14:00-21:59),36,18:00-23:59,24,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,BURGLARY,19,Thursday,6,9,2,Evening Shift (14:00-21:59),8,06:00-11:59,7,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,DAMAGE TO PROPERTY,39,Tuesday,9,0,4,Night Shift (22:00-05:59),16,00:00-05:59,12,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,DANGEROUS DRUGS,7,Tuesday,2,21,3,Evening Shift (14:00-21:59),5,18:00-23:59,3,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,FRAUD,18,Wednesday,6,12,3,Evening Shift (14:00-21:59),8,12:00-17:59,9,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,HEALTH AND SAFETY,1,Tuesday,1,17,1,Evening Shift (14:00-21:59),1,12:00-17:59,1,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,INVASION OF PRIVACY -OTHER,2,Sunday,1,10,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,LARCENY,36,Tuesday,7,12,7,Day Shift (06:00-13:59),18,12:00-17:59,16,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,OBSTRUCTING JUDICIARY,4,Sunday,3,18,1,Night Shift (22:00-05:59),2,00:00-05:59,2,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,OBSTRUCTING THE POLICE,3,Tuesday,1,1,1,Night Shift (22:00-05:59),2,00:00-05:59,2,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,ROBBERY,8,Monday,3,21,2,Evening Shift (14:00-21:59),5,18:00-23:59,4,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,RUNAWAY,2,Wednesday,1,16,1,Evening Shift (14:00-21:59),1,12:00-17:59,1,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,STOLEN PROPERTY,4,Tuesday,2,10,1,Day Shift (06:00-13:59),2,06:00-11:59,1,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,STOLEN VEHICLE,43,Friday,10,22,8,Night Shift (22:00-05:59),24,18:00-23:59,23,2026-01-01,2026-09-14,East English Village
YTD,05,Crime Type,WEAPONS OFFENSES,9,Saturday,3,1,2,Night Shift (22:00-05:59),5,00:00-05:59,4,2026-01-01,2026-09-14,East English Village
YTD,05,Category Focus,Gun-Related,9,Saturday,3,1,2,Night Shift (22:00-05:59),5,00:00-05:59,4,2026-01-01,2026-09-14,East English Village
YTD,05,Category Focus,Property Crime,141,Sunday,28,22,11,Night Shift (22:00-05:59),51,18:00-23:59,45,2026-01-01,2026-09-14,East English Village
YTD,05,Category Focus,Larceny,36,Tuesday,7,12,7,Day Shift (06:00-13:59),18,12:00-17:59,16,2026-01-01,2026-09-14,East English Village
YTD,09,All,All,1,Monday,1,18,1,Evening Shift (14:00-21:59),1,18:00-23:59,1,2026-01-01,2026-09-14,East English Village
YTD,09,Crime Type,WEAPONS OFFENSES,1,Monday,1,18,1,Evening Shift (14:00-21:59),1,18:00-23:59,1,2026-01-01,2026-09-14,East English Village
YTD,09,Category Focus,Gun-Related,1,Monday,1,18,1,Evening Shift (14:00-21:59),1,18:00-23:59,1,2026-01-01,2026-09-14,East English Village
Recent 14D,ALL,All,All,17,Thursday,4,10,3,Day Shift (06:00-13:59),7,06:00-11:59,6,2026-09-01,2026-09-14,East English Village
Recent 14D,ALL,Crime Type,AGGRAVATED ASSAULT,2,Monday,1,10,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,East English Village
Recent 14D,ALL,Crime Type,ASSAULT,2,Wednesday,1,16,1,Evening Shift (14:00-21:59),2,12:00-17:59,2,2026-09-01,2026-09-14,East English Village
Recent 14D,ALL,Crime Type,BURGLARY,5,Thursday,2,9,2,Day Shift (06:00-13:59),3,06:00-11:59,3,2026-09-01,2026-09-14,East English Village
Recent 14D,ALL,Crime Type,FRAUD,1,Tuesday,1,12,1,Day Shift (06:00-13:59),1,12:00-17:59,1,2026-09-01,2026-09-14,East English Village
Recent 14D,ALL,Crime Type,LARCENY,2,Tuesday,1,0,1,Night Shift (22:00-05:59),2,00:00-05:59,2,2026-09-01,2026-09-14,East English Village
Recent 14D,ALL,Crime Type,ROBBERY,2,Monday,1,10,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,East English Village
Recent 14D,ALL,Crime Type,STOLEN PROPERTY,1,Tuesday,1,10,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,East English Village
Recent 14D,ALL,Crime Type,STOLEN VEHICLE,2,Thursday,1,19,1,Evening Shift (14:00-21:59),1,18:00-23:59,2,2026-09-01,2026-09-14,East English Village
Recent 14D,ALL,Category Focus,Property Crime,10,Thursday,3,19,2,Night Shift (22:00-05:59),4,06:00-11:59,4,2026-09-01,2026-09-14,East English Village
Recent 14D,ALL,Category Focus,Larceny,2,Tuesday,1,0,1,Night Shift (22:00-05:59),2,00:00-05:59,2,2026-09-01,2026-09-14,East English Village
Recent 14D,05,All,All,17,Thursday,4,10,3,Day Shift (06:00-13:59),7,06:00-11:59,6,2026-09-01,2026-09-14,East English Village
Recent 14D,05,Crime Type,AGGRAVATED ASSAULT,2,Monday,1,10,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,East English Village
Recent 14D,05,Crime Type,ASSAULT,2,Wednesday,1,16,1,Evening Shift (14:00-21:59),2,12:00-17:59,2,2026-09-01,2026-09-14,East English Village
Recent 14D,05,Crime Type,BURGLARY,5,Thursday,2,9,2,Day Shift (06:00-13:59),3,06:00-11:59,3,2026-09-01,2026-09-14,East English Village
Recent 14D,05,Crime Type,FRAUD,1,Tuesday,1,12,1,Day Shift (06:00-13:59),1,12:00-17:59,1,2026-09-01,2026-09-14,East English Village
Recent 14D,05,Crime Type,LARCENY,2,Tuesday,1,0,1,Night Shift (22:00-05:59),2,00:00-05:59,2,2026-09-01,2026-09-14,East English Village
Recent 14D,05,Crime Type,ROBBERY,2,Monday,1,10,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,East English Village
Recent 14D,05,Crime Type,STOLEN PROPERTY,1,Tuesday,1,10,1,Day Shift (06:00-13:59),1,06:00-11:59,1,2026-09-01,2026-09-14,East English Village
Recent 14D,05,Crime Type,STOLEN VEHICLE,2,Thursday,1,19,1,Evening Shift (14:00-21:59),1,18:00-23:59,2,2026-09-01,2026-09-14,East English Village
Recent 14D,05,Category Focus,Property Crime,10,Thursday,3,19,2,Night Shift (22:00-05:59),4,06:00-11:59,4,2026-09-01,2026-09-14,East English Village
Recent 14D,05,Category Focus,Larceny,2,Tuesday,1,0,1,Night Shift (22:00-05:59),2,00:00-05:59,2,2026-09-01,2026-09-14,East English Village
YTD,ALL,All,All,358,Monday,60,12,24,Evening Shift (14:00-21:59),155,18:00-23:59,116,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,29,Sunday,7,1,4,Evening Shift (14:00-21:59),15,18:00-23:59,10,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,ARSON,3,Tuesday,1,6,1,Day Shift (06:00-13:59),2,06:00-11:59,2,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,ASSAULT,72,Thursday,16,10,8,Day Shift (06:00-13:59),26,18:00-23:59,20,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,BURGLARY,33,Wednesday,9,14,5,Day Shift (06:00-13:59),13,12:00-17:59,15,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,39,Wednesday,8,1,5,Evening Shift (14:00-21:59),17,18:00-23:59,14,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,DANGEROUS DRUGS,2,Tuesday,1,12,1,Day Shift (06:00-13:59),1,12:00-17:59,2,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,FAMILY OFFENSE,2,Wednesday,1,2,1,Night Shift (22:00-05:59),2,00:00-05:59,2,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,FRAUD,30,Monday,7,16,5,Evening Shift (14:00-21:59),17,12:00-17:59,16,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,HEALTH AND SAFETY,2,Thursday,2,16,1,Evening Shift (14:00-21:59),1,12:00-17:59,1,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,INVASION OF PRIVACY -OTHER,4,Friday,3,14,1,Evening Shift (14:00-21:59),2,12:00-17:59,3,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,LARCENY,66,Thursday,12,20,9,Evening Shift (14:00-21:59),35,18:00-23:59,28,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,OBSTRUCTING JUDICIARY,1,Monday,1,16,1,Evening Shift (14:00-21:59),1,12:00-17:59,1,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,OBSTRUCTING THE POLICE,5,Sunday,2,15,1,Evening Shift (14:00-21:59),3,12:00-17:59,2,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,ROBBERY,5,Monday,2,17,2,Evening Shift (14:00-21:59),5,12:00-17:59,3,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,RUNAWAY,4,Tuesday,1,4,1,Night Shift (22:00-05:59),3,00:00-05:59,3,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,SEX OFFENSES,1,Saturday,1,0,1,Night Shift (22:00-05:59),1,00:00-05:59,1,2026-01-01,2026-09-14,East Village
YTD,ALL,Crime Type,STOLEN PROPERTY,8,Tuesday,5,10,2,Evening Shift (14:00-21:59),4,06:00-11:59,3,2026-01-01,2026-09-14,East Village
